Title,Author,Cover URL,Number of Ratings,Average Rating,Description,Publication_year,Genres
The Pillars of the Earth,Ken Follett,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg,782741,4.34,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makesThe Pillars of the Earthextraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape.Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.For the TV tie-in edition with the same ISBN go to thisAlternate Cover Edition",1989,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval"
How to Win Friends & Influence People,Dale Carnegie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865.jpg,1033063,4.22,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936,How to Win Friends and Influence Peoplehas sold more than 30 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.",1936,"Self Help, Nonfiction, Business, Psychology, Personal Development, Leadership, Communication"
Perfume: The Story of a Murderer,Patrick Süskind,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343.jpg,494056,4.04,"An alternative cover edition for this ISBN can be foundhere.An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift—an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume""—the scent of a beautiful young virgin. Told with dazzling narrative brilliance,Perfumeis a hauntingly powerful tale of murder and sensual depravity.",1985,"Fiction, Classics, Historical Fiction, Horror, Thriller, Mystery, Crime"
The Grapes of Wrath,John Steinbeck,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302892i/4395.jpg,932148,4.01,"The Grapes of Wrathis a landmark of American literature. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. Although it follows the movement of thousands of men and women and the transformation of an entire nation,The Grapes of Wrathis also the story of one Oklahoma family, the Joads, who are driven off their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity.First published in 1939,The Grapes of Wrathsummed up its era in the way thatUncle Tom's Cabinsummed up the years of slavery before the Civil War. Sensitive to fascist and communist criticism, Steinbeck insisted that ""The Battle Hymn of the Republic"" be printed in its entirety in the first edition of the book—which takes its title from the first verse: ""He is trampling out the vintage where the grapes of wrath are stored."" At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s fictional chronicle of the Dust Bowl migration of the 1930s is perhaps the most American of American Classics.",1939,"Classics, Fiction, Historical Fiction, Literature, Novels, School, American"
The Horse Whisperer,Nicholas Evans,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320410310i/479415.jpg,59593,3.85,"A forty-ton truck hurtles out of control on a snowy country road, a teenage girl on horseback in its path. In a few terrible seconds the life of a family is shattered. And a mother's quest beings - to save her maimed daughter and a horse driven mad by pain. It is an odyssey that will bring her to...THE HORSE WHISPERERHe is the stuff of legend. His voice can calm wild horses and his touch heal broken spirits. For secrets uttered softly into pricked and troubled ears, such men were once called Whisperers. Now Tom Booker, the inheritor of this ancient gift, is to meet his greatest challenge.Annie Graves has traveled across a continent with her daughter, Grace, and their wounded horse, Pilgrim, to the Booker ranch in Montana. Annie has risked everything - her career, her marriage, her comfortable life - in her desperate belief that the Whisperer can help them. The accident has turned Pilgrim savage. He is now so demented and dangerous that everyone says he should be destroyed. But Annie won't give up on him. For she feels his fate is inextricably entwined with that of he daughter, who has retreated into a heartrending, hostile silence. Annie knows that if the horse dies, something in Grace will die too.In the weeks to come, under the massive sky of the Rocky Mountain Front, all their lives - including Tom Booker's - will be transformed forever in a way none could have foretold. At once an epic love story and a gripping adventure,The Horse Whispererweaves an extraordinary tale of healing and redemption - a magnificent emotional journey that explores our ancient bonds with earth and sky and hearts untamed. It is a stirring elegy to the power of belief and self-discovery, to hopes lost and found again.",1995,"Fiction, Romance, Animals, Horses, Contemporary, Drama, Classics"
The Shadow of the Wind,Carlos Ruiz Zafón,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232.jpg,661028,4.3,"Barcelona, 1945: A city slowly heals from its war wounds, and Daniel, an antiquarian book dealer's son who mourns the loss of his mother, finds solace in a mysterious book entitled The Shadow of the Wind, by one Julian Carax. But when he sets out to find the author's other works, he makes a shocking discovery: someone has been systematically destroying every copy of every book Carax has written. In fact, Daniel may have the last of Carax's books in existence. Soon Daniel's seemingly innocent quest opens a door into one of Barcelona's darkest secrets--an epic story of murder, madness, and doomed love.",2001,"Fiction, Historical Fiction, Mystery, Fantasy, Books About Books, Historical, Spain"
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,1895325,4.23,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!",1979,"Science Fiction, Fiction, Humor, Fantasy, Comedy, Audiobook, Science Fiction Fantasy"
Tuesdays with Morrie,Mitch Albom,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900.jpg,1072821,4.18,"Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you?Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - Mitch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live.",1997,"Nonfiction, Memoir, Biography, Classics, Philosophy, Inspirational, Self Help"
God's Little Acre,Erskine Caldwell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1699226428i/191581.jpg,2697,3.63,"LikeTobacco Road, this novel chronicles the final decline of a poor white family in rural Georgia. Exhorted by their patriarch Ty Ty, the Waldens ruin their land by digging it up in search of gold. Complex sexual entanglements and betrayals lead to a murder within the family that completes its dissolution. Juxtaposed against the Waldens' obsessive search is the story of Ty Ty's son-in-law, a cotton mill worker in a nearby town who is killed during a strike.First published in 1933,God's Little Acrewas censured by the Georgia Literary Commission, banned in Boston, and once led the all-time best-seller list, with more than ten million copies in print.",1933,"Fiction, Classics, Southern, Literature, Historical Fiction, Southern Gothic, American"
Follow Your Heart,Susanna Tamaro,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403169769i/38913.jpg,18673,3.69,"An international bestseller with tremendous word-of-mouth appeal, ""Follow Your Heart"" is a bittersweet, heartwarming novel spanning generations and teaching the universal truths about life, love, and what lies within each of us. Originally published in Italy, ""Follow Your Heart"" won the coveted Premio Donna Citta di Roma and sold over 800,000 copies in that country alone before hitting bestseller lists throughout the rest of Europe. Now North American readers can enjoy the novel that has won over the world.It begins in late autumn 1992 as an elderly Italian woman, prompted by the knowledge of her encroaching death, sits down to write a letter to her granddaughter now grown and living in far-off America. Through these moving reflections, we see one life laid bare--joys, sorrows, regrets, and all. And through the eyes of a woman nearing the end of her days, we come to understand what life experience has taught her: that no matter what the stakes, we must look within ourselves and gather the courage to follow our hearts.",1994,"Fiction, Romance, Italian Literature, Novels, Italy, Contemporary, Literature"
The Outsiders,S.E. Hinton,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,1414183,4.13,"The Outsidersis about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.Librarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the1988 cover(this record), the1995 cover, and the2008 coverwhich is also the current in-print cover.",1967,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction"
Charlie and the Chocolate Factory,Roald Dahl,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310.jpg,873418,4.16,Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!(back cover),1964,"Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor"
Norwegian Wood,Haruki Murakami,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1713542603i/11297.jpg,642299,4.0,"Toru, a quiet and preternaturally serious young college student in Tokyo, is devoted to Naoko, a beautiful and introspective young woman, but their mutual passion is marked by the tragic death of their best friend years before. Toru begins to adapt to campus life and the loneliness and isolation he faces there, but Naoko finds the pressures and responsibilities of life unbearable. As she retreats further into her own world, Toru finds himself reaching out to others and drawn to a fiercely independent and sexually liberated young woman.A magnificent blending of the music, the mood, and the ethos that was the sixties with the story of one college student's romantic coming of age,Norwegian Woodbrilliantly recaptures a young man's first, hopeless, and heroic love.",1987,"Fiction, Romance, Japan, Japanese Literature, Classics, Novels, Literary Fiction"
Peyton Place,Grace Metalious,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348089469i/526869.jpg,12743,3.81,"First published in 1956,Peyton Placeuncovers the passions, lies and cruelties that simmer beneath the surface of a postcard-perfect town. At the centre of the novel are three women, each with a secret to hide: Constance MacKenzie, the original desperate housewife; her daughter Allison, whose dreams are stifled by small-town small-mindedness; and Selena Cross, her gypsy-eyed friend from the wrong side of the tracks.",1956,"Fiction, Classics, Romance, Historical Fiction, Banned Books, Chick Lit, Novels"
Dune,Frank Herbert,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1434908555i/234225.jpg,1459917,4.28,"Set on the desert planet Arrakis,Duneis the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the ""spice"" melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul's family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad'Dib, he will bring to fruition humankind's most ancient and unattainable dream.A stunning blend of adventure and mysticism, environmentalism and politics,Dunewon the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",1965,"Science Fiction, Fiction, Fantasy, Audiobook, Science Fiction Fantasy, Classics, Novels"
The Plague,Albert Camus,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1503362434i/11989.jpg,277985,4.02,"The Plague is a novel by Albert Camus, published in 1947.It tells the story from the point of view of a narrator of a plague sweeping the French Algerian city of Oran. The narrator remains unknown until the start of the last chapter, chapter 5 of part 5. The novel presents a snapshot of life in Oran as seen through the author's distinctive absurdist point of view.The book tells a gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death,The Plagueis at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes an omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion.The Plague is considered an existentialist classic despite Camus' objection to the label. The novel stresses the powerlessness of the individual characters to affect their destinies. The narrative tone is similar to Kafka's, especially in The Trial, whose individual sentences potentially have multiple meanings; the material often pointedly resonating as stark allegory of phenomenal consciousness and the human condition.",1947,"Fiction, Classics, Philosophy, France, Literature, French Literature, Novels"
No Longer Human,Osamu Dazai,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422638843i/194746.jpg,185578,3.98,"Osamu Dazai'sNo Longer Human, this leading postwar Japanese writer's second novel, tells the poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. In consequence, he feels himself ""disqualified from being human"" (a literal translation of the Japanese title).Donald Keene, who translated this and Dazai's first novel,The Setting Sun, has said of the author's work: ""His world … suggests Chekhov or possibly postwar France, … but there is a Japanese sensibility in the choice and presentation of the material. A Dazai novel is at once immediately intelligible in Western terms and quite unlike any Western book."" His writing is in some ways reminiscent of Rimbaud, while he himself has often been called a forerunner of Yukio Mishima.Cover painting by Noe Nojechowiz, from the collection of John and Barbara Duncan; design by Gertrude Huston",1948,"Fiction, Japanese Literature, Japan, Literature, Novels, Literary Fiction, Asian Literature"
The Naked Ape,Desmond Morris,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1487671738i/33297.jpg,11577,3.93,"This work has become a benchmark of popular anthropology and psychology.Zoologist Desmond Morris considers humans as being simply another animal species in this classic book first published in 1967. Here is the Naked Ape at his most primal in love, at work, at war. Meet man as he really is: relative to the apes, stripped of his veneer as we see him courting, making love, sleeping, socializing, grooming, playing.The Naked Apetakes its place alongside Darwin’sOrigin of the Species, presenting man not as a fallen angel, but as a risen ape, remarkable in his resilience, energy and imagination, yet an animal nonetheless, in danger of forgetting his origins.With its penetrating insights on man's beginnings, sex life, habits and our astonishing bonds to the animal kingdom,The Naked Apeis a landmark, at once provocative, compelling and timeless.",1967,"Nonfiction, Science, Anthropology, Psychology, Biology, Evolution, Sociology"
The Bridges of Madison County,Robert James Waller,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344267141i/83674.jpg,100342,3.7,"The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, THE BRIDGES OF MADISON COUNTY gives voice to the longings of men and women everywhere-and shows us what it is to love and be loved so intensely that life is never the same again.",1992,"Fiction, Romance, Classics, Chick Lit, Contemporary, Novels, Historical Fiction"
Man’s Search for Meaning,Viktor E. Frankl,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1535419394i/4069.jpg,759011,4.37,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful.Man's Search for Meaninghas become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",1946,"Nonfiction, Psychology, Philosophy, Self Help, Memoir, Biography, Audiobook"
The Divine Comedy,Dante Alighieri,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656.jpg,158512,4.08,"This Everyman’s Library edition–containing in one volume all three cantos, Inferno,Purgatorio,andParadiso–includes an introduction by Nobel Prize—winning poet Eugenio Montale, a chronology, notes, and a bibliography. Also included are forty-two drawings selected from Botticelli’s marvelous late-fifteenth-century series of illustrations.Translated in this edition by Allen Mandelbaum,The Divine Comedybegins in a shadowed forest on Good Friday in the year 1300. It proceeds on a journey that, in its intense recreation of the depths and the heights of human experience, has become the key with which Western civilization has sought to unlock the mystery of its own identity.Mandelbaum’s astonishingly Dantean translation, which captures so much of the life of the original, renders whole for us the masterpiece of that genius whom our greatest poets have recognized as a central model for all poets.",1320,"Poetry, Fiction, Literature, Philosophy, Religion, Fantasy, Italian Literature"
Things Fall Apart,Chinua Achebe,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1708114013i/37781.jpg,384465,3.74,"A simple story of a ""strong man"" whose life is dominated by fear and anger,Things Fall Apartis written with remarkable economy and subtle irony. Uniquely and richly African, at the same time it reveals Achebe's keen awareness of the human qualities common to men of all times and places.",1958,"Fiction, Classics, Historical Fiction, Africa, School, Literature, Nigeria"
The Prophet,Kahlil Gibran,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547.jpg,307987,4.23,"Kahlil Gibran’s masterpiece,The Prophet,is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophetis a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.",1923,"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature"
The Exorcist,William Peter Blatty,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375168676i/179780.jpg,244957,4.2,"Georgetown, Washington D.C. Actress and divorced mother Chris MacNeil starts to experience 'difficulties' with her usually sweet-natured eleven-year-old daughter Regan. The child becomes afflicted by spasms, convulsions and unsettling amnesiac episodes; these abruptly worsen into violent fits of appalling foul-mouthed curses, accompanied by physical mutation. Medical science is baffled by Regan's plight and, in her increasing despair, Chris turns to troubled priest and psychiatrist Damien Karras, who immediately recognises something profoundly malevolent in Regan's distorted fetures and speech. On Karras's recommendation, the Church summons Father Merrin, a specialist in the exorcism of demons . . .",1971,"Horror, Fiction, Paranormal, Thriller, Supernatural, Fantasy, Audiobook"
The Gruffalo,Julia Donaldson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329674496i/1013383.jpg,43468,4.46,"Just what is the Gruffalo?He has terrible tusks... and terrible claws... and terrible teeth in his terrible jaws.But do all those things make him the scariest creature in the deep dark wood? One brave little mouse with a big imagination doesn't think so!When Mouse takes a stroll through the woods, he meets a fox, an owl, and a snake who all want to eat him. So clever Mouse scares them off by warning them about the gruffalo who lives in the forest, a monster with terrible teeth and terrible claws.But what happens when Mouse's invented monster turns out to bereal?The Gruffalois an international best-selling and award-winning sensation with over 13.5 million copies in print worldwide. It has been made into an Oscar-nominated animated film as well as a stage musical that was performed on Broadway, and was voted England's favorite bedtime story.",1999,"Picture Books, Childrens, Fiction, Animals, Fantasy, Poetry, Storytime"
Catch-22,Joseph Heller,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg,845422,3.99,"Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniest—and most celebrated—books of all time. In recent years it has been named to “best novels” lists by Time, Newsweek, the Modern Library, and the London Observer.Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemy—it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions he’s assigned, he’ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved.This fiftieth-anniversary edition commemorates Joseph Heller’s masterpiece with a new introduction by Christopher Buckley; a wealth of critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others; rare papers and photos from Joseph Heller’s personal archive; and much more. Here, at last, is the definitive edition of a classic of world literature.",1961,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels"
Eye of the Needle,Ken Follett,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327939511i/92364.jpg,160900,4.21,"One enemy spy knows the secret to the Allies' greatest deception, a brilliant aristocrat and ruthless assassin -- code name: ""The Needle"" -- who holds the key to ultimate Nazi victory.Only one person stands in his way: a lonely Englishwoman on an isolated island, who is beginning to love the killer who has mysteriously entered her life.All will come to a terrifying conclusion in Ken Follett's unsurpassed and unforgettable masterwork of suspense, intrigue, and the dangerous machinations of the human heart.",1978,"Fiction, Historical Fiction, Thriller, Mystery, Espionage, War, Suspense"
